"condition","response_1","response_2","response_3"
0.7,"More than 350","More than 350","More than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"More than 350","More than 350",NA
0.8,"More than 350","More than 350","More than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,NA,NA,NA
0.8,"Less than 350","Less than 350","Less than 350"
0.8,NA,"Less than 350","Less than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"Less than 350",NA,NA
0.8,"More than 350",NA,NA
0.8,"More than 350",NA,NA
0.8,"Less than 350",NA,NA
0.8,"More than 350","More than 350","More than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,NA,"Less than 350","Less than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"More than 350",NA,"More than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.8,"More than 350","More than 350","More than 350"
0.8,"Less than 350","Less than 350","Less than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,NA,"Less than 350","More than 350"
0.9,NA,"More than 350",NA
0.9,"More than 350","More than 350","More than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,NA,"More than 350","More than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"Less than 350","Less than 350","Less than 350"
