"t_pct","t_num","M","mu","C","pre_vote","post_vote","N","R","B_func"
0.825,645.199565070856,420.442021810181,476.588230959613,473.404496825624,0.202,0.047,1000,3,"lognorm"
0.85,676.356277292071,420.442021810181,476.588230959613,473.404496825624,0.168,0.034,1000,3,"lognorm"
0.875,712.8604119639,420.442021810181,476.588230959613,473.404496825624,0.139,0.021,1000,3,"lognorm"
0.9,755.768920637871,420.442021810181,476.588230959613,473.404496825624,0.116,0.014,1000,3,"lognorm"
0.1,210.793662539322,399.683449077773,457.71783727835,458.401037779001,0.906,0.995,1000,3,"lognorm"
0.125,224.894675583713,399.683449077773,457.71783727835,458.401037779001,0.893,0.993,1000,3,"lognorm"
0.15,237.273158089203,399.683449077773,457.71783727835,458.401037779001,0.871,0.989,1000,3,"lognorm"
0.175,250.195196892611,399.683449077773,457.71783727835,458.401037779001,0.847,0.986,1000,3,"lognorm"
0.2,260.960865335129,399.683449077773,457.71783727835,458.401037779001,0.821,0.986,1000,3,"lognorm"
0.225,272.970919012509,399.683449077773,457.71783727835,458.401037779001,0.801,0.981,1000,3,"lognorm"
0.25,284.542549551196,399.683449077773,457.71783727835,458.401037779001,0.767,0.978,1000,3,"lognorm"
0.275,296.367830845532,399.683449077773,457.71783727835,458.401037779001,0.74,0.975,1000,3,"lognorm"
0.3,307.32723007319,399.683449077773,457.71783727835,458.401037779001,0.712,0.969,1000,3,"lognorm"
0.325,318.407173053239,399.683449077773,457.71783727835,458.401037779001,0.686,0.958,1000,3,"lognorm"
0.35,331.308184932062,399.683449077773,457.71783727835,458.401037779001,0.65,0.954,1000,3,"lognorm"
0.375,343.626754322754,399.683449077773,457.71783727835,458.401037779001,0.636,0.945,1000,3,"lognorm"
0.4,353.775201623635,399.683449077773,457.71783727835,458.401037779001,0.614,0.939,1000,3,"lognorm"
0.425,365.868294719616,399.683449077773,457.71783727835,458.401037779001,0.573,0.927,1000,3,"lognorm"
0.45,376.627347748832,399.683449077773,457.71783727835,458.401037779001,0.551,0.914,1000,3,"lognorm"
0.475,387.81139474412,399.683449077773,457.71783727835,458.401037779001,0.529,0.897,1000,3,"lognorm"
0.5,400.432289933286,399.683449077773,457.71783727835,458.401037779001,0.497,0.875,1000,3,"lognorm"
0.525,413.99790512508,399.683449077773,457.71783727835,458.401037779001,0.47,0.846,1000,3,"lognorm"
0.55,429.018098166205,399.683449077773,457.71783727835,458.401037779001,0.448,0.802,1000,3,"lognorm"
0.575,443.649283468963,399.683449077773,457.71783727835,458.401037779001,0.425,0.729,1000,3,"lognorm"
